#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46214  37.937 -123.463 2021 05 25 22 56  MM    MM    MM  2.1   6   MM  MM     MM    MM    MM  10.5    MM   MM     MM
46215  35.204 -120.859 2021 05 25 22 56  MM    MM    MM  1.5   7   MM  MM     MM    MM    MM  13.7    MM   MM     MM
46218  34.452 -120.780 2021 05 25 23 26  MM    MM    MM  2.6   8  6.0 320     MM    MM    MM  12.2    MM   MM     MM
46219  33.219 -119.872 2021 05 25 22 56  MM    MM    MM  2.5   8   MM  MM     MM    MM    MM  14.5    MM   MM     MM
46221  33.860 -118.641 2021 05 25 22 56  MM    MM    MM  1.1  17   MM  MM     MM    MM    MM  18.1    MM   MM     MM
46222  33.618 -118.317 2021 05 25 22 51  MM    MM    MM  0.8   9   MM  MM     MM    MM    MM  18.2    MM   MM     MM
46224  33.178 -117.472 2021 05 25 22 56  MM    MM    MM  0.9  17   MM  MM     MM    MM    MM  19.6    MM   MM     MM
46225  32.933 -117.391 2021 05 25 22 56  MM    MM    MM  1.1  17   MM  MM     MM    MM    MM  18.4    MM   MM     MM
46229  43.770 -124.549 2021 05 25 22 56  MM    MM    MM  1.8   7  6.2 288     MM    MM    MM  12.1    MM   MM     MM
46232  32.517 -117.425 2021 05 25 23 26  MM    MM    MM  1.1  17  7.8 187     MM    MM    MM  18.7    MM   MM     MM
46235  32.570 -117.169 2021 05 25 22 56  MM    MM    MM  0.9  12   MM  MM     MM    MM    MM  16.7    MM   MM     MM
46237  37.788 -122.632 2021 05 25 23 00  MM    MM    MM  1.6   6  5.1 287     MM    MM    MM  11.7    MM   MM     MM
46239  36.335 -122.104 2021 05 25 23 26  MM    MM    MM  1.9   5  5.3 318     MM    MM    MM  11.0    MM   MM     MM
46240  36.626 -121.907 2021 05 25 22 56  MM    MM    MM  1.1   5   MM  MM     MM    MM    MM  14.1    MM   MM     MM
46244  40.896 -124.357 2021 05 25 23 26  MM    MM    MM  1.3  11  6.0 299     MM    MM    MM  10.3    MM   MM     MM
46246  50.017 -145.170 2021 05 25 21 56  MM    MM    MM  3.3   8  6.2 142     MM    MM    MM   7.2    MM   MM     MM
46248  46.133 -124.644 2021 05 25 23 26  MM    MM    MM  1.8   7  5.9 293     MM    MM    MM  11.8    MM   MM     MM
46251  33.769 -119.565 2021 05 25 23 26  MM    MM    MM  1.6  17  5.6 188     MM    MM    MM  15.3    MM   MM     MM
46253  33.576 -118.181 2021 05 25 23 26  MM    MM    MM  1.0  17  7.2 184     MM    MM    MM  17.9    MM   MM     MM
46254  32.868 -117.267 2021 05 25 23 26  MM    MM    MM  0.8   8  5.8 291     MM    MM    MM  19.9    MM   MM     MM
46256  33.700 -118.201 2021 05 25 23 26  MM    MM    MM  0.9  17 10.8 182     MM    MM    MM  16.9    MM   MM     MM
46258  32.752 -117.501 2021 05 25 22 56  MM    MM    MM  1.2  17   MM  MM     MM    MM    MM  18.5    MM   MM     MM
46259  34.767 -121.498 2021 05 25 22 56  MM    MM    MM  2.6   7   MM  MM     MM    MM    MM  12.7    MM   MM     MM
46264  57.479 -151.695 2021 05 25 23 26  MM    MM    MM  1.3  17  5.6 147     MM    MM    MM   7.3    MM   MM     MM
46266  32.957 -117.279 2021 05 25 23 00  MM    MM    MM  0.9  15  6.8 236     MM    MM    MM  19.5    MM   MM     MM
46267  48.173 -123.607 2021 05 25 23 00  MM    MM    MM  0.4  10  3.6 290     MM    MM    MM   9.4    MM   MM     MM
46268  34.022 -118.578 2021 05 25 23 00  MM    MM    MM  0.6  17  8.4 202     MM    MM  18.5  17.3    MM   MM     MM
46269  36.934 -122.034 2021 05 25 23 00  MM    MM    MM  1.2   5  4.1 272     MM    MM  12.2  12.1    MM   MM     MM
46303  49.020 -123.430 2021 05 25 23 00  50   2.0   3.0  0.1   5   MM  MM 1018.8  -0.5  15.2  16.6    MM   MM     MM
46304  49.300 -123.360 2021 05 25 23 00 220   3.0   4.0  0.1   3   MM  MM 1018.8  -0.4  15.6  16.2    MM   MM     MM
51000  23.528 -153.792 2021 05 25 23 20 130   5.0   6.0   MM  MM   MM  MM 1020.2    MM  23.9  24.4  20.5   MM     MM
51001  24.453 -162.000 2021 05 25 23 20  60   2.0   3.0   MM  MM   MM  MM 1020.4    MM  24.2  26.5  19.8   MM     MM
51002  17.043 -157.742 2021 05 25 23 20  80   7.0   9.0   MM  MM   MM  MM 1018.0    MM  25.5  25.8  21.5   MM     MM
51003  19.196 -160.639 2021 05 25 23 20 100   4.0   5.0   MM  MM   MM  MM 1019.2    MM  25.4  26.7  21.5   MM     MM
51004  17.533 -152.255 2021 05 25 23 20  80   5.0   7.0   MM  MM   MM  MM 1017.3    MM  24.8  25.0  20.6   MM     MM
51101  24.361 -162.075 2021 05 25 23 20  50   3.0   4.0   MM  MM   MM  MM 1020.6    MM  24.0  25.0  20.2   MM     MM
51201  21.671 -158.117 2021 05 25 22 57  MM    MM    MM  1.0   9   MM  MM     MM    MM    MM  25.7    MM   MM     MM
51205  21.019 -156.422 2021 05 25 22 56  MM    MM    MM  1.5   9   MM  MM     MM    MM    MM  24.9    MM   MM     MM
51208  22.285 -159.574 2021 05 25 22 56  MM    MM    MM  1.1   9   MM  MM     MM    MM    MM  26.0    MM   MM     MM
51209 -14.273 -170.500 2021 05 25 23 16  MM    MM    MM  2.1  13  7.1 188     MM    MM    MM  29.2    MM   MM     MM
51211  21.297 -157.959 2021 05 25 22 30  MM    MM    MM  0.8  17  4.5 158     MM    MM    MM  26.2    MM   MM     MM
51212  21.323 -158.149 2021 05 25 22 56  MM    MM    MM  1.0  17   MM  MM     MM    MM    MM  26.8    MM   MM     MM
51213  20.750 -157.003 2021 05 25 22 56  MM    MM    MM  0.8  13  7.2 150     MM    MM    MM  26.5    MM   MM     MM
51WH0  22.000 -158.000 2021 05 25 22 30  MM    MM    MM   MM  MM   MM  MM 1019.8    MM    MM  25.8    MM   MM     MM
52200  13.354  144.788 2021 05 25 23 26  MM    MM    MM  1.6  10  5.7  92     MM    MM    MM  29.5    MM   MM     MM
52202  13.682  144.806 2021 05 25 23 26  MM    MM    MM  1.2   9  5.2  77     MM    MM    MM  29.0    MM   MM     MM
52211  15.268  145.662 2021 05 25 23 26  MM    MM    MM  1.0  10  5.5  62     MM    MM    MM  29.2    MM   MM     MM
62001  45.230   -5.000 2021 05 25 23 00 280   4.6    MM  2.2  MM    7  MM 1025.5    MM    MM    MM    MM   MM     MM
62029  48.720  -12.430 2021 05 25 23 00 280   6.7    MM   MM  MM   MM  MM 1023.0    MM  12.8  12.7  11.8   MM     MM
62050  50.000   -4.400 2021 05 25 23 00  MM    MM    MM   MM  MM   MM  MM 1017.2    MM  10.4    MM   8.3   MM     MM
62081  51.000  -13.550 2021 05 25 23 00 300   8.2    MM   MM  MM   MM  MM 1020.4    MM  21.2  12.1  20.6   MM     MM
62103  49.900   -2.900 2021 05 25 23 00 320   8.8    MM  1.4  MM    8  MM 1015.9  +2.7  10.4  11.2   8.0   27     MM
62107  50.102   -6.100 2021 05 25 23 00 300   5.1    MM  1.8  MM    8  MM 1018.3    MM  10.1  11.0   8.5   27     MM
62114  58.300    0.000 2021 05 25 23 00  10   9.8    MM   MM  MM   MM  MM 1014.3  -0.2  11.0    MM   7.7   MM     MM
62121  53.500    2.700 2021 05 25 23 00 300   3.1    MM   MM  MM   MM  MM 1011.2  -0.5   9.0    MM   6.6   MM     MM
62124  53.600   -3.600 2021 05 25 23 00 330    MM    MM   MM  MM   MM  MM 1014.2  +0.1  10.0    MM   7.8   MM     MM
62130  58.700    1.300 2021 05 25 23 00  30    MM    MM  0.9  MM   MM  MM 1012.8  -0.2  10.2    MM   6.2   27     MM
62135  54.200    1.600 2021 05 25 23 00  MM    MM    MM   MM  MM   MM  MM 1011.5  -0.2   8.8    MM   6.9   MM     MM
62144  53.400    1.700 2021 05 25 23 00 320   2.6    MM  0.4  MM    3  MM 1011.6  -0.4   8.7    MM   7.5   27     MM
62145  53.102    2.800 2021 05 25 23 00 280   4.1    MM  0.7  MM    4  MM 1011.6  -0.6   9.5    MM   7.8    5     MM
62146  57.200    2.100 2021 05 25 23 00  30   6.2    MM  1.1  MM    4  MM 1010.5  -0.2   9.3    MM   8.7   11     MM
62148  53.600    1.500 2021 05 25 23 00 300   3.1    MM   MM  MM   MM  MM 1011.7  -0.4   8.7    MM   7.3   MM     MM
62149  53.700    1.100 2021 05 25 23 00 320   4.1    MM  0.4  MM    3  MM 1012.2  -0.2   9.4    MM   7.5   11     MM
62150  53.600    0.700 2021 05 25 23 00 330   1.0    MM   MM  MM   MM  MM 1013.1  +0.2   8.9    MM   7.2   27     MM
62163  47.550   -8.470 2021 05 25 23 00  MM    MM    MM  2.1  MM    6  MM 1023.7    MM  13.1    MM  11.6   MM     MM
62164  57.200    0.800 2021 05 25 23 00 360   7.2    MM   MM  MM   MM  MM 1012.3  -0.2    MM    MM    MM   11     MM
62165  54.000    1.100 2021 05 25 23 00 320   4.6    MM  0.4  MM    4  MM 1012.1  -0.3   9.0    MM   7.2   27     MM
62304  51.102    1.800 2021 05 25 23 00 250   9.8    MM  1.2  MM    6  MM 1013.5  -1.1  10.3  11.3   8.0   11     MM
62305  50.400    0.000 2021 05 25 23 00  80   6.2    MM  1.1  MM    6  MM 1012.9  -2.7   8.8  11.0   8.1    5     MM
62442  49.000  -16.500 2021 05 25 23 00  MM    MM    MM   MM  MM   MM  MM 1021.8    MM  13.1    MM  10.7   MM     MM
63110  59.500    1.500 2021 05 25 23 00  30  10.8    MM  1.0  MM    4  MM 1014.3  -0.5  12.8    MM   8.4   11     MM
63112  61.100    1.000 2021 05 25 23 00  50   9.8    MM  1.7  MM    5  MM 1016.3  -0.4   9.1    MM   7.3    5     MM
63115  61.600    1.300 2021 05 25 23 00  20  11.3    MM  2.2  MM    6  MM 1017.2  -0.5   8.9    MM   6.2    5     MM
63117  61.400    1.100 2021 05 25 23 00  40  11.3    MM   MM  MM   MM  MM 1017.0  -0.5    MM    MM    MM    5     MM
64045  59.150  -11.790 2021 05 25 23 00  40   6.7    MM  1.7  MM    5  MM 1022.8  +0.6   9.5   9.8    MM   MM     MM
64046  60.483   -4.167 2021 05 25 23 00  30   8.2    MM  1.6  MM    6  MM 1020.3    MM   8.9    MM   7.9   MM     MM
AMAA2  58.915 -151.952 2021 05 25 23 30 250  11.8  13.4   MM  MM   MM  MM 1015.6    MM   8.0    MM   5.5   MM     MM
APNM4  45.060  -83.424 2021 05 25 23 20 260   7.7  11.3   MM  MM   MM  MM     MM    MM  28.7    MM    MM   MM     MM
ARPF1  28.433  -82.667 2021 05 25 21 54 310   3.6   5.1   MM  MM   MM  MM 1021.0    MM  26.6    MM    MM   MM   1.38
AUGA2  59.378 -153.348 2021 05 25 23 30  90   1.5   2.1   MM  MM   MM  MM     MM    MM  17.7    MM    MM   MM     MM
BDVF1  25.478  -80.989 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.9    MM   MM   0.03
BHRI3  41.646  -87.147 2021 05 25 22 40 240   3.1   6.2   MM  MM   MM  MM 1014.2    MM  26.7    MM    MM   MM     MM
BIGM4  46.827  -87.727 2021 05 25 22 40 230   2.6   7.2   MM  MM   MM  MM 1000.7    MM  29.6    MM    MM   MM     MM
BKYF1  25.119  -80.834 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  30.6    MM   MM   0.00
BLIA2  60.839 -146.884 2021 05 25 23 30 180   6.2   6.2   MM  MM   MM  MM 1016.1    MM   8.7    MM    MM   MM     MM
BLTA2  58.455 -135.889 2021 05 25 23 26 250   2.6   3.6   MM  MM   MM  MM     MM    MM  11.4    MM    MM   MM     MM
BNKF1  25.087  -80.519 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.1    MM   MM  -0.65
BOBF1  25.027  -80.681 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  28.8    MM   MM  -0.79
BSBM4  44.055  -86.514 2021 05 25 22 40 170   8.8  12.4   MM  MM   MM  MM 1011.5    MM  18.0    MM    MM   MM     MM
BURL1  28.905  -89.428 2021 05 25 23 00  MM   6.2   6.7   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
BUZM3  41.397  -71.033 2021 05 25 23 00 220  10.3  10.8   MM  MM   MM  MM 1021.9  -1.3    MM    MM    MM   MM     MM
CANF1  25.422  -80.942 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  26.2    MM   MM   0.46
CBRW3  45.198  -87.360 2021 05 25 22 40 150   2.6   6.2   MM  MM   MM  MM     MM    MM  24.6    MM    MM   MM     MM
CDEA2  56.001 -134.136 2021 05 25 23 22 170   2.6   3.6   MM  MM   MM  MM 1016.4    MM   7.7    MM   3.8   MM     MM
CDRF1  29.136  -83.029 2021 05 25 23 00 290   4.6   6.7   MM  MM   MM  MM 1021.3  -0.9  26.1    MM  21.2   MM     MM
CHDS1  33.661  -82.199 2021 05 25 22 20 150   0.5   2.6   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
CHII2  41.916  -87.572 2021 05 25 23 20 220  11.8  15.4   MM  MM   MM  MM     MM    MM  27.7    MM  15.5   MM     MM
CLBF1  27.736  -82.686 2021 05 25 22 54 280   3.6   5.7   MM  MM   MM  MM 1020.3    MM  26.7    MM    MM   MM     MM
CLKN7  34.622  -76.525 2021 05 25 23 00 140   5.7   6.7   MM  MM   MM  MM 1022.7  -0.7  24.2    MM    MM   MM     MM
CLSM4  42.471  -82.877 2021 05 25 23 00 250   7.7  11.3   MM  MM   MM  MM 1013.9  -1.0  29.3    MM    MM   MM     MM
CMLN3  43.070  -70.700 2021 05 25 21 04 140   5.1    MM   MM  MM   MM  MM     MM    MM  18.9  13.4    MM   MM     MM
CMPO1  41.547  -83.015 2021 05 25 22 30 250   7.7  10.3   MM  MM   MM  MM     MM    MM  30.8    MM    MM   MM     MM
CNBF1  25.702  -81.186 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  28.0    MM   MM   0.38
CNII2  41.856  -87.609 2021 05 25 23 30 210   8.8   8.8   MM  MM   MM  MM     MM    MM  27.8    MM    MM   MM     MM
CRGA2  55.474 -133.136 2021 05 25 23 24 210   4.6   6.7   MM  MM   MM  MM 1016.4    MM   6.6    MM   4.1   MM     MM
CSPA2  58.199 -136.640 2021 05 25 23 10 310   7.2   7.7   MM  MM   MM  MM 1014.4    MM   8.9    MM   5.5   MM     MM
CWCI   47.334  -85.833 2021 05 25 23 00 150   4.6    MM   MM  MM   MM  MM 1003.5    MM   8.6    MM   8.1   MM     MM
DBLN6  42.494  -79.354 2021 05 25 23 00 220   7.7   9.3   MM  MM   MM  MM 1014.8  -1.6  25.1    MM    MM   MM     MM
DESW1  47.675 -124.485 2021 05 25 23 00 200   2.1   2.6   MM  MM   MM  MM 1021.1  +0.4  13.1    MM    MM   MM     MM
DISW3  47.079  -90.728 2021 05 25 23 00 210   8.8  11.3   MM  MM   MM  MM 1000.4  -1.8  20.3    MM  10.7   MM     MM
DPIA1  30.250  -88.075 2021 05 25 23 00 140   5.1   5.7   MM  MM   MM  MM 1020.8  -1.5  24.9    MM    MM   MM     MM
EROA2  58.971 -135.221 2021 05 25 23 24  10   4.1   4.6   MM  MM   MM  MM 1014.6    MM  14.3    MM    MM   MM     MM
ERXA2  58.971 -135.221 2021 05 25 23 32  10   3.1   4.1   MM  MM   MM  MM 1010.6    MM  13.4    MM   6.8   MM     MM
FBIS1  32.685  -79.888 2021 05 25 23 00 190   7.7   8.8   MM  MM   MM  MM 1022.3  -0.8  24.2    MM    MM   MM     MM
FFIA2  57.272 -133.630 2021 05 25 23 00 160   8.2  10.8   MM  MM   MM  MM 1014.7  -0.0   8.2    MM    MM   MM     MM
FHPF1  28.153  -82.801 2021 05 25 22 54 320   4.6   5.1   MM  MM   MM  MM 1021.6    MM  26.1    MM    MM   MM   0.44
FILA2  59.332 -151.995 2021 05 25 23 30 200   5.1   6.2   MM  MM   MM  MM 1017.0    MM   7.9    MM   5.7   MM     MM
FPTM4  45.619  -86.660 2021 05 25 22 40 180   9.3  10.8   MM  MM   MM  MM     MM    MM  12.2    MM    MM   MM     MM
FWYF1  25.591  -80.097 2021 05 25 23 00  60   6.2   6.7   MM  MM   MM  MM 1021.6  -0.7  25.5  26.0    MM   MM     MM
GBIF1  25.378  -81.029 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  26.2    MM   MM  -0.24
GBTF1  25.167  -80.801 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  29.9    MM   MM  -0.23
GELO1  41.859  -80.975 2021 05 25 22 30 270   4.1   4.6   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
GEXA2  58.212 -136.381 2021 05 25 23 33 140   0.5   1.0   MM  MM   MM  MM 1012.6    MM  11.1    MM   6.3   MM     MM
GIXA2  55.446 -131.881 2021 05 25 23 32 130   3.1   7.2   MM  MM   MM  MM 1013.5    MM  11.0    MM   5.6   MM     MM
GKYF1  24.627  -82.872 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM  29.4    MM    MM   MM  -0.70
GRIM4  46.721  -87.412 2021 05 25 23 30 220   6.7   7.7   MM  MM   MM  MM 1001.6    MM  27.4    MM  15.1   MM     MM
GRMM4  46.684  -85.972 2021 05 25 22 40 210  10.8  14.4   MM  MM   MM  MM 1005.1    MM  26.2    MM    MM   MM     MM
GSLM4  44.018  -83.537 2021 05 25 22 40 220   8.8   9.3   MM  MM   MM  MM 1012.2    MM  24.5    MM    MM   MM     MM
GTLM4  45.211  -85.550 2021 05 25 22 40 230  10.3  14.4   MM  MM   MM  MM 1008.1    MM  27.8    MM    MM   MM     MM
GTRM4  47.179  -88.241 2021 05 25 23 00 310   1.5   4.6   MM  MM   MM  MM 1003.0  -0.0    MM    MM    MM   MM     MM
GUXA2  58.408 -135.726 2021 05 25 23 32 300   3.1   4.6   MM  MM   MM  MM 1011.5    MM  14.1    MM   4.8   MM     MM
HAXA2  59.234 -135.442 2021 05 25 23 32 330   2.1   4.6   MM  MM   MM  MM 1011.6    MM  16.2    MM   5.6   MM     MM
HCEF1  25.254  -80.444 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  28.9    MM   MM  -0.50
HHLO1  41.401  -82.545 2021 05 25 23 00 220   4.6   8.2   MM  MM   MM  MM 1014.2    MM  30.3    MM    MM   MM     MM
HMSA2  59.602 -151.417 2021 05 25 23 32 250   5.7   8.8   MM  MM   MM  MM     MM    MM   9.0    MM   5.4   MM     MM
HREF1  25.424  -81.060 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  25.9    MM   MM  -0.28
ICYA2  59.927 -141.359 2021 05 25 23 32 260   3.1   3.6   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
IOSN3  42.967  -70.623 2021 05 25 23 00 190  14.9  15.4   MM  MM   MM  MM 1015.4  -1.4  17.3    MM  10.9   MM     MM
JAKI2  41.781  -87.573 2021 05 25 22 00 250   5.7  10.8   MM  MM   MM  MM     MM    MM  28.6    MM    MM   MM     MM
JBYF1  25.224  -80.541 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.0    MM   MM  -0.68
JKYF1  25.053  -80.904 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.5    MM   MM   0.17
JLXA2  58.298 -134.405 2021 05 25 23 33 300   1.5   4.1   MM  MM   MM  MM 1009.5    MM  15.6    MM   2.1   MM     MM
JMLA2  58.286 -134.390 2021 05 25 23 32 310   5.1   7.2   MM  MM   MM  MM 1009.8    MM  14.0    MM   3.7   MM     MM
JNGA2  58.291 -134.394 2021 05 25 23 33 300   3.6   6.2   MM  MM   MM  MM 1012.2    MM  14.2    MM   3.7   MM     MM
KBQX   28.314  -95.620 2021 05 25 23 35 130   7.2    MM   MM  MM   MM  MM     MM    MM    27    MM    24  8.7     MM
KDLP   29.121  -89.547 2021 05 25 23 35 150   3.6   7.2   MM  MM   MM  MM     MM    MM    25    MM    24  5.2     MM
KEMK   27.819  -94.323 2021 05 25 23 35 140   8.2    MM   MM  MM   MM  MM     MM    MM    26    MM    24  4.3     MM
KEXA2  55.352 -131.684 2021 05 25 23 32 150   5.1   8.2   MM  MM   MM  MM 1015.1    MM    MM    MM    MM   MM     MM
KGHB   27.840  -91.988 2021 05 25 23 35 150   4.6    MM   MM  MM   MM  MM     MM    MM    26    MM    26  7.0     MM
KGNA   47.745  -90.346 2021 05 25 22 56  70   2.1    MM   MM  MM   MM  MM 1000.3    MM  11.1    MM   8.9   MM     MM
KGRY   27.625  -90.441 2021 05 25 23 30 150   5.1    MM   MM  MM   MM  MM     MM    MM    26    MM    20  8.7     MM
KHHV   26.939  -94.689 2021 05 25 23 35 140   6.7   9.3   MM  MM   MM  MM     MM    MM    26    MM    24  7.0     MM
KMDJ   28.643  -89.794 2021 05 25 23 35 140   6.7    MM   MM  MM   MM  MM     MM    MM    26    MM    21  7.8     MM
KMIS   29.296  -88.842 2021 05 25 23 35  MM   3.1    MM   MM  MM   MM  MM     MM    MM    27    MM    22  5.2     MM
KNSW3  42.589  -87.809 2021 05 25 23 00 220  10.8  15.4   MM  MM   MM  MM 1012.2  -0.7  26.2    MM    MM   MM     MM
KP53   46.417  -86.650 2021 05 25 22 56  MM    MM    MM   MM  MM   MM  MM 1003.5    MM  27.2    MM  16.1   MM     MM
KP58   44.017  -82.800 2021 05 25 22 55 250   4.6   8.8   MM  MM   MM  MM 1010.4    MM  27.8    MM  14.4   MM     MM
KP59   47.467  -87.883 2021 05 25 22 51 330   7.7  16.0   MM  MM   MM  MM 1002.7    MM  18.9    MM  13.9   MM     MM
KSCF   29.116  -91.871 2021 05 25 23 30 140   7.2    MM   MM  MM   MM  MM     MM    MM    26    MM    22  8.7     MM
KTNF1  29.819  -83.594 2021 05 25 23 00 260   4.1   4.6   MM  MM   MM  MM 1021.4  -1.2  25.7    MM  21.6   MM     MM
KVAF   27.354  -94.625 2021 05 25 23 35 140   6.7    MM   MM  MM   MM  MM     MM    MM    26    MM    23  8.7     MM
KVKY   29.248  -88.441 2021 05 25 23 35 130   6.2    MM   MM  MM   MM  MM     MM    MM    25    MM    21  7.0     MM
KVOA   29.229  -87.781 2021 05 25 23 35 100   6.2    MM   MM  MM   MM  MM     MM    MM    30    MM    21  8.7     MM
LCNA2  56.058 -132.690 2021 05 25 23 10 150   3.6   5.1   MM  MM   MM  MM 1015.1    MM   9.4    MM   4.8   MM     MM
LDLC3  41.306  -72.077 2021 05 25 23 10 220   6.7   7.2   MM  MM   MM  MM 1015.9    MM  14.8    MM    MM   MM     MM
LIXA2  58.540 -135.047 2021 05 25 23 32 350   4.6   5.7   MM  MM   MM  MM 1011.5    MM  12.0    MM   7.3   MM     MM
LJPC1  32.867 -117.257 2021 05 25 23 20 240   5.1   6.2  0.8   7   MM  MM     MM    MM    MM    MM    MM   MM     MM
LMDF1  25.176  -80.633 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.9    MM   MM  -0.50
LMFS1  34.107  -81.271 2021 05 25 23 20 350   1.5   3.6   MM  MM   MM  MM     MM    MM  26.8    MM    MM   MM     MM
LMRF1  25.556  -81.169 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  26.1    MM   MM  -0.33
LONF1  24.844  -80.864 2021 05 25 23 30  MM   8.2   9.8   MM  MM   MM  MM 1020.5    MM  25.9    MM  21.0   MM     MM
LOPL1  28.885  -90.025 2021 05 25 22 55 140   7.2   7.7   MM  MM   MM  MM 1021.1    MM  25.4    MM  20.0   MM     MM
LORO1  41.481  -82.195 2021 05 25 23 30 210   6.2   9.8   MM  MM   MM  MM     MM    MM  30.1    MM    MM   MM     MM
LRIF1  25.284  -80.894 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  28.3    MM   MM  -0.47
LSNF1  25.235  -80.457 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  28.4    MM   MM  -0.49
MBIN7  34.091  -77.868 2021 05 25 23 00 210   3.6   5.7   MM  MM   MM  MM 1021.0  -0.6  24.8    MM    MM   MM     MM
MBNN7  34.171  -77.824 2021 05 25 23 00 190   2.6   4.1   MM  MM   MM  MM 1021.0  -1.2  25.3    MM    MM   MM     MM
MCYI3  41.729  -86.912 2021 05 25 23 20 240   8.2   8.8   MM  MM   MM  MM 1012.8    MM  25.1    MM  13.1   MM     MM
MDKF1  25.289  -80.396 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.3    MM   MM  -0.63
MDRM1  43.969  -68.128 2021 05 25 23 00 180  12.9  13.9   MM  MM   MM  MM 1015.5  -1.4    MM    MM    MM   MM     MM
MEEM4  44.251  -86.342 2021 05 25 22 40 180   4.6  11.3   MM  MM   MM  MM 1010.8    MM  27.1    MM    MM   MM     MM
MKGM4  43.227  -86.339 2021 05 25 23 20 220   7.7   8.2   MM  MM   MM  MM 1012.4    MM  17.6    MM  13.8   MM     MM
MLWW3  43.005  -87.884 2021 05 25 23 10 230   6.2   8.2   MM  MM   MM  MM     MM    MM  26.3    MM    MM   MM     MM
MNBF1  25.239  -80.422 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.7    MM   MM  -0.54
MRKA2  61.082 -146.662 2021 05 25 23 30 210  13.9  14.9   MM  MM   MM  MM 1014.1    MM   9.3    MM    MM   MM     MM
MRNA2  58.198 -134.257 2021 05 25 23 32  20   1.0   3.1   MM  MM   MM  MM 1010.5    MM  16.2    MM   4.7   MM     MM
MRYA2  55.099 -131.182 2021 05 25 23 32 170   3.1   8.8   MM  MM   MM  MM 1016.9    MM  10.0    MM   5.4   MM     MM
MUKF1  25.106  -80.942 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.6    MM   MM     MM
MVXA2  58.364 -134.606 2021 05 25 23 32 320   2.1   4.6   MM  MM   MM  MM 1010.9    MM  15.2    MM   5.1   MM     MM
MXXA2  58.301 -134.425 2021 05 25 23 32 290   3.6   6.2   MM  MM   MM  MM 1010.5    MM  14.5    MM   3.4   MM     MM
NABM4  46.087  -85.444 2021 05 25 22 40 230   5.7   9.3   MM  MM   MM  MM 1006.8    MM  13.4    MM    MM   MM     MM
NKXA2  58.255 -134.945 2021 05 25 23 32 180   1.0   2.1   MM  MM   MM  MM 1011.9    MM  13.0    MM   7.5   MM     MM
NPDW3  45.291  -86.977 2021 05 25 22 40 120   4.1   6.7   MM  MM   MM  MM 1007.8    MM  16.6    MM    MM   MM     MM
NREP1  42.258  -79.792 2021 05 25 22 20 280   3.6    MM   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
NRRF1  25.338  -80.911 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.7    MM   MM  -0.32
NWPO3  44.613 -124.067 2021 05 25 23 00 220   1.5   2.6   MM  MM   MM  MM     MM    MM  12.4    MM    MM   MM     MM
OKSI2  41.912  -87.624 2021 05 25 22 00 280   2.1   4.6   MM  MM   MM  MM     MM    MM  28.6    MM    MM   MM     MM
OLCN6  43.341  -78.719 2021 05 25 23 00 240   4.1   7.7   MM  MM   MM  MM 1013.5  -0.7  28.1    MM    MM   MM     MM
