#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
42039  28.787  -86.007 2021 05 25 23 20 130   2.0   3.0   MM  MM   MM  MM 1021.8    MM  25.2  25.8  21.7   MM     MM
42040  29.207  -88.237 2021 05 25 23 20 110   5.0   6.0   MM  MM   MM  MM 1021.0    MM  24.8  25.2  22.2   MM     MM
42045  26.217  -96.500 2021 05 25 21 30 150   7.0   9.0   MM  MM   MM  MM 1015.7    MM  25.2  26.5    MM   MM     MM
42055  22.124  -93.941 2021 05 25 23 20 110   6.0   8.0   MM  MM   MM  MM 1015.8    MM  27.9  28.5  27.0   MM     MM
42056  19.820  -84.945 2021 05 25 23 20  90   8.0  10.0   MM  MM   MM  MM 1017.2    MM  28.4  28.6  24.0   MM     MM
42058  14.389  -74.803 2021 05 25 23 20  80  11.0  13.0   MM  MM   MM  MM 1013.5    MM  28.2  27.6  26.9   MM     MM
42059  15.299  -67.495 2021 05 25 23 20  80   9.0  11.0   MM  MM   MM  MM 1015.0    MM  27.8  27.9  25.1   MM     MM
42060  16.433  -63.331 2021 05 25 23 20  60   7.0   9.0   MM  MM   MM  MM 1016.9    MM  27.5  27.9    MM   MM     MM
42095  24.407  -81.967 2021 05 25 23 00  MM    MM    MM  0.9   4  3.5  99     MM    MM  26.0  26.3    MM   MM     MM
42097  25.701  -83.650 2021 05 25 22 56  MM    MM    MM  0.6   5   MM  MM     MM    MM    MM  25.7    MM   MM     MM
42098  27.590  -82.931 2021 05 25 23 26  MM    MM    MM  0.5   5  3.0 176     MM    MM    MM  26.4    MM   MM     MM
42099  27.345  -84.275 2021 05 25 22 56  MM    MM    MM  0.7   5  4.0 150     MM    MM    MM  25.6    MM   MM     MM
42361  27.550  -92.490 2021 05 25 22 00 120   7.0   8.0   MM  MM   MM  MM     MM    MM  30.3    MM  22.0   MM     MM
42363  28.160  -89.220 2021 05 25 22 00 110   5.0   6.0   MM  MM   MM  MM     MM    MM  26.0    MM  19.2   MM     MM
42365  28.154  -89.104 2021 05 25 23 30  MM   4.0    MM   MM  MM   MM  MM     MM    MM  25.7    MM  18.7   MM     MM
42390  26.129  -94.898 2021 05 25 22 00 120   5.0   9.0   MM  MM   MM  MM     MM    MM  26.0    MM  23.5   MM     MM
42394  28.157  -89.240 2021 05 25 22 30 150   5.0    MM   MM  MM   MM  MM     MM    MM  25.6    MM  19.5   MM     MM
44005  43.201  -69.127 2021 05 25 22 50  MM    MM    MM  1.9   6  4.8 188 1017.2  -1.6  12.6  10.7  10.1   MM     MM
44007  43.525  -70.140 2021 05 25 23 20 190  11.0  12.0   MM  MM   MM  MM 1014.5    MM  14.0  11.6  10.2   MM     MM
44008  40.504  -69.248 2021 05 25 23 20  MM   4.0   4.0   MM  MM   MM  MM 1023.7    MM  13.7    MM    MM   MM     MM
44009  38.457  -74.702 2021 05 25 22 50  MM    MM    MM  1.1   8  6.1  71     MM    MM    MM    MM    MM   MM     MM
44013  42.346  -70.651 2021 05 25 23 20 210   7.0   8.0   MM  MM   MM  MM 1018.6    MM    MM  12.2    MM   MM     MM
44014  36.609  -74.842 2021 05 25 23 20 180   3.0   4.0   MM  MM   MM  MM 1023.0    MM    MM  15.6    MM   MM     MM
44017  40.693  -72.049 2021 05 25 23 20 210   8.0  10.0   MM  MM   MM  MM 1021.8    MM  14.7  14.8  12.1   MM     MM
44020  41.493  -70.279 2021 05 25 23 20  MM  11.0  13.0   MM  MM   MM  MM     MM    MM    MM  15.5    MM   MM     MM
44025  40.251  -73.164 2021 05 25 23 20 200   9.0  12.0   MM  MM   MM  MM 1020.8    MM    MM  16.6    MM   MM     MM
44027  44.283  -67.300 2021 05 25 22 50  MM  11.0  14.0   MM  MM   MM  MM     MM    MM  10.9    MM    MM   MM     MM
44029  42.523  -70.566 2021 05 25 22 04 200   8.0  10.0  1.0   8   MM  MM 1016.7    MM  15.3    MM    MM  1.6     MM
44030  43.179  -70.426 2021 05 25 22 04 190  10.0  12.0  1.3   5   MM  MM 1014.6    MM  14.3    MM    MM  1.6     MM
44032  43.715  -69.355 2021 05 25 22 04 190  11.0  13.0  2.2   6   MM  MM 1015.5    MM  12.6  10.0    MM   MM     MM
44033  44.055  -68.996 2021 05 25 22 04 220   6.0   8.0  1.1   6   MM  MM 1016.1    MM  11.3   8.8    MM  1.6     MM
44034  44.103  -68.112 2021 05 25 22 04 210  10.0  12.0  2.4   6   MM  MM     MM    MM  10.9   9.0    MM   MM     MM
44039  41.138  -72.655 2021 05 25 23 00 190   7.0   9.0  0.4  MM   MM  MM     MM    MM  17.0  15.2    MM   MM     MM
44040  40.956  -73.580 2021 05 25 23 15 180   4.0   6.0   MM  MM   MM  MM     MM    MM  18.1    MM  12.9   MM     MM
44056  36.200  -75.714 2021 05 25 22 56  MM    MM    MM  1.1   9   MM  MM     MM    MM    MM  20.0    MM   MM     MM
44062  38.556  -76.415 2021 05 25 23 12 160   9.0  11.0  0.6   4   MM  MM 1023.1    MM  18.1  20.5    MM   MM     MM
44063  38.963  -76.448 2021 05 25 23 18 180   8.0  10.0  0.3   2   MM  MM 1022.9    MM  19.0    MM    MM   MM     MM
44065  40.369  -73.703 2021 05 25 23 20 180  10.0  12.0   MM  MM   MM  MM 1020.0    MM    MM  15.8    MM   MM     MM
44069  40.698  -73.087 2021 05 25 23 00 210   7.0   9.0   MM  MM   MM  MM     MM    MM  16.8  21.0  13.5   MM     MM
44073  43.020  -70.540 2021 05 25 22 04 180   8.0   9.0   MM  MM   MM  MM     MM    MM  16.2  11.4    MM   MM     MM
44086  36.001  -75.421 2021 05 25 23 13  MM    MM    MM  1.3  10  6.5  59     MM    MM    MM  19.2    MM   MM     MM
44087  37.025  -76.151 2021 05 25 22 56  MM    MM    MM  0.6   9   MM  MM     MM    MM    MM  20.7    MM   MM     MM
44088  36.611  -74.841 2021 05 25 23 00  MM    MM    MM  1.5  11  6.8  75     MM    MM  17.7  15.7    MM   MM     MM
44089  37.754  -75.325 2021 05 25 23 26  MM    MM    MM  1.0  10  6.8  75     MM    MM    MM  15.7    MM   MM     MM
44090  41.840  -70.329 2021 05 25 22 56  MM    MM    MM  0.8   4   MM  MM     MM    MM    MM  14.3    MM   MM     MM
44091  39.768  -73.770 2021 05 25 22 56  MM    MM    MM  1.2  10   MM  MM     MM    MM    MM  16.5    MM   MM     MM
44095  35.750  -75.330 2021 05 25 23 26  MM    MM    MM  1.2   9  6.4  69     MM    MM    MM  18.7    MM   MM     MM
44097  40.967  -71.126 2021 05 25 22 56  MM    MM    MM  1.1   4   MM  MM     MM    MM    MM  14.4    MM   MM     MM
44098  42.800  -70.171 2021 05 25 22 56  MM    MM    MM  1.6   5   MM  MM     MM    MM    MM  11.8    MM   MM     MM
44099  36.915  -75.722 2021 05 25 22 56  MM    MM    MM  1.1  11  5.2  73     MM    MM    MM  18.7    MM   MM     MM
44100  36.258  -75.593 2021 05 25 22 56  MM    MM    MM  1.2  11  6.2  71     MM    MM    MM  18.9    MM   MM     MM
44137  42.260  -62.030 2021 05 25 23 00  MM   0.0   0.0  1.2   5   MM  MM 1023.8  -1.2  14.9  14.3    MM   MM     MM
44139  44.240  -57.100 2021 05 25 23 00  MM    MM    MM  2.0   6   MM  MM 1020.6  -1.6  10.1   8.6    MM   MM     MM
44150  42.500  -64.020 2021 05 25 21 00  MM    MM    MM  1.1   8   MM  MM 1023.7    MM  10.6   7.5    MM   MM     MM
44258  44.500  -63.400 2021 05 25 23 00 220  12.0  14.0  2.0   7   MM  MM 1017.3  -1.0   8.1   5.0    MM   MM     MM
44488  45.440  -60.950 2021 05 25 23 00 220  11.0  13.0  1.1   4   MM  MM 1014.6  -1.2   8.8   5.0    MM   MM     MM
44489  45.490  -61.140 2021 05 25 23 00 220   8.0   9.0  0.6   3   MM  MM 1014.4  -1.2   9.1   5.4    MM   MM     MM
44490  44.660  -66.370 2021 05 25 23 00 190  12.0  14.0  1.9   6   MM  MM 1015.9  -2.4   9.6   8.9    MM   MM     MM
45013  43.100  -87.850 2021 05 25 23 30 220  10.0  11.0  0.5  MM   MM  MM 1011.3    MM  22.8   8.1    MM   MM     MM
45022  45.405  -85.085 2021 05 25 23 30 210   7.0  11.0  0.7   3   MM 253 1008.5    MM  22.5  10.5    MM   MM     MM
45024  43.981  -86.556 2021 05 25 23 30 190   8.0  10.0  1.3   4   MM 211 1012.0    MM  13.3   8.6    MM   MM     MM
45026  41.982  -86.619 2021 05 25 23 30 220   5.0   6.0  0.3   2   MM 232 1013.5    MM  19.6  16.2  14.0   MM     MM
45029  42.900  -86.272 2021 05 25 23 30 180   3.0   4.0  0.4   3   MM 223 1013.0    MM  14.5  11.8  11.6   MM     MM
45132  42.460  -81.220 2021 05 25 23 00 200   5.0   6.0  0.3   3   MM  MM 1014.4  -1.5  19.3  15.7    MM   MM     MM
45135  43.780  -76.870 2021 05 25 23 00 210   5.0   6.0   MM   3   MM  MM 1013.0  -1.2  16.4  11.8    MM   MM     MM
45136  48.540  -86.950 2021 05 25 23 00 210   3.0   5.0  0.4   3   MM  MM 1002.3  -1.4   5.9   3.2    MM   MM     MM
45137  45.540  -81.020 2021 05 25 23 00 210   6.0   7.0   MM   3   MM  MM 1009.8  -1.9  11.1   7.0    MM   MM     MM
45139  43.250  -79.530 2021 05 25 23 00 240   7.0   8.0  0.3   3   MM  MM 1012.8  -0.3  23.2  14.3    MM   MM     MM
45142  42.740  -79.290 2021 05 25 23 00 220   5.0   6.0  0.4   3   MM  MM 1014.9  -1.4  18.3  14.8    MM   MM     MM
45143  44.940  -80.627 2021 05 25 22 00 190   4.0   5.0  0.4   4   MM  MM 1011.5  -1.2  13.1   5.5    MM   MM     MM
45149  43.540  -82.080 2021 05 25 23 00 200   5.0   6.0  0.3   3   MM  MM 1012.2  -1.6  15.4  10.1    MM   MM     MM
45151  44.500  -79.370 2021 05 25 23 00 240   4.0   5.0  0.2   3   MM  MM 1012.0  -0.7  20.7  14.2    MM   MM     MM
45152  46.230  -79.720 2021 05 25 23 00 240   8.0  10.0  0.2   2   MM  MM 1008.5  -2.1  22.6  14.4    MM   MM     MM
45154  46.050  -82.640 2021 05 25 23 00 190   3.0   4.0   MM  MM   MM  MM 1007.7  -1.3  16.7  11.1    MM   MM     MM
45159  43.770  -78.980 2021 05 25 23 00 240   6.0   7.0  0.4   3   MM  MM 1012.2  -0.8  16.7  12.9    MM   MM     MM
45161  43.185  -86.355 2021 05 25 23 20 180   5.0   6.0  0.4   3   MM 185 1012.5    MM  14.6  11.4    MM   MM     MM
45162  44.988  -83.270 2021 05 25 23 20 220   6.0   7.0  0.5   3   MM 216 1007.8    MM  19.3    MM    MM   MM     MM
