#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
42035  29.215  -94.429 2021 05 26 13 40 160   3.0   4.0   MM  MM   MM  MM 1019.9    MM  25.3  25.2    MM   MM     MM
42036  28.501  -84.508 2021 05 26 13 40 130   3.0   4.0   MM  MM   MM  MM 1022.7    MM  24.3  25.2  23.2   MM     MM
42039  28.787  -86.007 2021 05 26 13 40 140   4.0   5.0   MM  MM   MM  MM 1023.4    MM  25.1  25.0  21.8   MM     MM
42040  29.207  -88.237 2021 05 26 13 40 120   4.0   4.0   MM  MM   MM  MM 1022.8    MM  24.8  24.6  23.1   MM     MM
42045  26.217  -96.500 2021 05 26 12 00 150   7.0   8.0   MM  MM   MM  MM 1017.3  +0.7  24.4  26.4    MM   MM     MM
42055  22.124  -93.941 2021 05 26 13 40 120   7.0   9.0   MM  MM   MM  MM 1018.2    MM  28.0  28.3  27.4   MM     MM
42056  19.820  -84.945 2021 05 26 13 50  60   7.0   9.0   MM  MM   MM  MM 1019.4    MM  28.2  28.5  23.4   MM     MM
42058  14.389  -74.803 2021 05 26 13 50  70  10.0  15.0  2.6   8  5.8  88 1014.5    MM  28.3  27.5  26.8   MM     MM
42059  15.299  -67.495 2021 05 26 13 40  80   8.0   9.0   MM  MM   MM  MM 1016.3    MM  27.8  27.9  24.5   MM     MM
42060  16.433  -63.331 2021 05 26 13 40  80   5.0   6.0   MM  MM   MM  MM 1018.3    MM  25.5  27.8    MM   MM     MM
42095  24.407  -81.967 2021 05 26 13 30  MM    MM    MM  1.2   6  4.3 111     MM    MM  26.4  26.0    MM   MM     MM
42097  25.701  -83.650 2021 05 26 13 26  MM    MM    MM  1.0   6  4.4 113     MM    MM    MM  25.9    MM   MM     MM
42098  27.590  -82.931 2021 05 26 13 26  MM    MM    MM  0.5   4  3.0 167     MM    MM    MM  26.0    MM   MM     MM
42099  27.345  -84.275 2021 05 26 13 26  MM    MM    MM  0.5   4  3.6 158     MM    MM    MM  25.0    MM   MM     MM
42361  27.550  -92.490 2021 05 26 13 00 140   5.0   5.0   MM  MM   MM  MM     MM    MM  25.0    MM  22.5   MM     MM
42363  28.160  -89.220 2021 05 26 13 00 210   3.0   3.0   MM  MM   MM  MM     MM    MM  25.1    MM  21.3   MM     MM
42365  28.154  -89.104 2021 05 26 13 30  MM   2.0    MM   MM  MM   MM  MM     MM    MM  25.5    MM  21.2   MM     MM
42390  26.129  -94.898 2021 05 26 13 00 140   7.0   8.0   MM  MM   MM  MM     MM    MM  25.0    MM  24.0   MM     MM
42394  28.157  -89.240 2021 05 26 13 30  10   1.0    MM   MM  MM   MM  MM     MM    MM  25.8    MM  22.1   MM     MM
44005  43.201  -69.127 2021 05 26 12 50  MM    MM    MM  1.4   6   MM  MM 1014.5  -0.5  12.5  10.5  12.0   MM     MM
44007  43.525  -70.140 2021 05 26 13 40 210   7.0   9.0   MM  MM   MM  MM 1012.0    MM  12.7   9.6  10.8   MM     MM
44008  40.504  -69.248 2021 05 26 13 40 210   8.0   9.0   MM  MM   MM  MM 1020.9    MM  14.9    MM    MM   MM     MM
44009  38.457  -74.702 2021 05 26 12 50  MM    MM    MM  1.0  10  4.7  88     MM    MM    MM    MM    MM   MM     MM
44013  42.346  -70.651 2021 05 26 13 40 220   4.0   4.0   MM  MM   MM  MM 1015.3    MM    MM  12.8    MM   MM     MM
44014  36.609  -74.842 2021 05 26 13 40 180   3.0   4.0   MM  MM   MM  MM 1022.1    MM    MM  16.3    MM   MM     MM
44017  40.693  -72.049 2021 05 26 13 40 220   6.0   7.0   MM  MM   MM  MM 1019.1    MM  15.4  14.4  15.0   MM     MM
44020  41.493  -70.279 2021 05 26 13 40  MM   9.0  11.0   MM  MM   MM  MM     MM    MM    MM  15.6    MM   MM     MM
44025  40.251  -73.164 2021 05 26 13 40 220   6.0   7.0   MM  MM   MM  MM 1018.6    MM    MM  16.5    MM   MM     MM
44027  44.283  -67.300 2021 05 26 12 50  MM   7.0   8.0   MM  MM   MM  MM     MM    MM  10.5    MM    MM   MM     MM
44029  42.523  -70.566 2021 05 26 13 04 200   5.0   6.0  0.6   8   MM  MM 1014.2    MM  13.4    MM    MM  1.6     MM
44030  43.179  -70.426 2021 05 26 13 04 190   5.0   6.0  0.9   5   MM  MM 1012.8    MM  12.6    MM    MM  1.6     MM
44032  43.715  -69.355 2021 05 26 13 04 210   8.0   9.0  1.4   6   MM  MM 1012.7    MM  12.4   9.9    MM   MM     MM
44033  44.055  -68.996 2021 05 26 13 04 220   8.0   9.0  0.9   6   MM  MM 1012.5    MM  12.0    MM    MM  1.6     MM
44034  44.103  -68.112 2021 05 26 13 04 230   7.0   8.0  1.6   6   MM  MM     MM    MM  10.5   8.9    MM   MM     MM
44039  41.138  -72.655 2021 05 26 13 00 210   4.0   5.0  0.2  MM   MM  MM     MM    MM  16.1  14.1    MM   MM     MM
44040  40.956  -73.580 2021 05 26 13 00 210   4.0   4.0   MM  MM   MM  MM     MM    MM  17.7    MM  15.9   MM     MM
44056  36.200  -75.714 2021 05 26 13 26  MM    MM    MM  0.8  10  5.7  78     MM    MM    MM  19.5    MM   MM     MM
44062  38.556  -76.415 2021 05 26 13 36 150   4.0   5.0  0.5  17   MM  MM 1020.4    MM  21.0  20.3    MM   MM     MM
44063  38.963  -76.448 2021 05 26 13 36 170   3.0   5.0  0.2  MM   MM  MM 1020.0    MM  19.9    MM    MM   MM     MM
44065  40.369  -73.703 2021 05 26 13 40 190   5.0   6.0   MM  MM   MM  MM 1018.0    MM    MM  14.9    MM   MM     MM
44069  40.698  -73.087 2021 05 26 13 15 220   7.0   8.0   MM  MM   MM  MM     MM    MM  17.1  20.3  17.1   MM     MM
44073  43.020  -70.540 2021 05 26 12 04 200   5.0   5.0   MM  MM   MM  MM     MM    MM  14.1  11.1    MM   MM     MM
44086  36.001  -75.421 2021 05 26 13 43  MM    MM    MM  1.0  11  6.2  69     MM    MM    MM  19.3    MM   MM     MM
44087  37.025  -76.151 2021 05 26 13 26  MM    MM    MM  0.4  10  4.1 151     MM    MM    MM  20.6    MM   MM     MM
44088  36.611  -74.841 2021 05 26 13 30  MM    MM    MM  1.1   9  6.1  89     MM    MM  18.5  16.3    MM   MM     MM
44089  37.754  -75.325 2021 05 26 13 26  MM    MM    MM  0.9   9  4.8  97     MM    MM    MM  15.8    MM   MM     MM
44090  41.840  -70.329 2021 05 26 13 26  MM    MM    MM  0.5   3  2.8 241     MM    MM    MM  13.7    MM   MM     MM
44091  39.768  -73.770 2021 05 26 13 26  MM    MM    MM  1.0  11  4.5 104     MM    MM    MM  16.6    MM   MM     MM
44095  35.750  -75.330 2021 05 26 13 26  MM    MM    MM  0.9  11  6.0  89     MM    MM    MM  19.5    MM   MM     MM
44097  40.967  -71.126 2021 05 26 13 26  MM    MM    MM  1.3   5  4.4 249     MM    MM    MM  14.3    MM   MM     MM
44098  42.800  -70.171 2021 05 26 13 26  MM    MM    MM  0.9   4  3.8 200     MM    MM    MM  10.8    MM   MM     MM
44099  36.915  -75.722 2021 05 26 13 26  MM    MM    MM  0.8   9  4.9  86     MM    MM    MM  19.5    MM   MM     MM
44100  36.258  -75.593 2021 05 26 13 26  MM    MM    MM  0.8   9  5.7  82     MM    MM    MM  19.2    MM   MM     MM
44137  42.260  -62.030 2021 05 26 13 00  MM   0.0   0.0  1.5   6   MM  MM 1020.8  -0.3  16.6  14.7    MM   MM     MM
44139  44.240  -57.100 2021 05 26 13 00  MM    MM    MM  2.3   7   MM  MM 1016.9  -1.0  11.5   8.3    MM   MM     MM
44150  42.500  -64.020 2021 05 26 12 00  MM    MM    MM  1.5   5   MM  MM 1019.1    MM  12.5   8.1    MM   MM     MM
44258  44.500  -63.400 2021 05 26 13 00 240   7.0  10.0  1.3   6   MM  MM 1014.1  -0.8   7.6   4.9    MM   MM     MM
44488  45.440  -60.950 2021 05 26 13 00 210   6.0   6.0  0.4   5   MM  MM 1013.2  -0.6   7.9   4.8    MM   MM     MM
44489  45.490  -61.140 2021 05 26 13 00 210   4.0   5.0  0.1   3   MM  MM 1013.0  -0.6   8.6   6.2    MM   MM     MM
44490  44.660  -66.370 2021 05 26 13 00 170   8.0  10.0  1.5   6   MM  MM 1013.4  -0.6   9.9   9.2    MM   MM     MM
45013  43.100  -87.850 2021 05 26 13 30 320   8.0  10.0  0.3  MM   MM  MM 1014.1    MM  16.7   7.9    MM   MM     MM
45022  45.405  -85.085 2021 05 26 13 50 250   9.0  11.0  0.9   4   MM 265 1010.9    MM  13.8   9.9    MM   MM     MM
45024  43.981  -86.556 2021 05 26 13 50 210   4.0   5.0  0.8   4   MM 203 1014.2    MM  10.1   8.3    MM   MM     MM
45026  41.982  -86.619 2021 05 26 13 40 210   5.0   6.0  0.5   4   MM 284 1014.7    MM  16.4  15.0  13.9   MM     MM
45029  42.900  -86.272 2021 05 26 13 40 310   6.0   8.0  0.6   5   MM 303 1013.7    MM  13.3  11.9  12.0   MM     MM
45132  42.460  -81.220 2021 05 26 13 00 250   7.0   8.0  0.6   4   MM  MM 1013.5  +0.7  17.6  15.2    MM   MM     MM
45135  43.780  -76.870 2021 05 26 13 00 200   7.0   8.0  0.6   4   MM  MM 1011.0  -0.4  15.4  11.0    MM   MM     MM
45136  48.540  -86.950 2021 05 26 12 00 310  11.0  13.0  1.0   5   MM  MM 1005.7  +4.3   6.8   3.2    MM   MM     MM
45137  45.540  -81.020 2021 05 26 13 00 220   6.0   7.0  0.6   4   MM  MM 1008.3  +0.5   9.2   6.6    MM   MM     MM
45139  43.250  -79.530 2021 05 26 13 00 230   6.0   8.0  0.2   3   MM  MM 1010.9  +0.0  19.6  13.9    MM   MM     MM
45142  42.740  -79.290 2021 05 26 13 00 230   6.0   7.0  0.6   4   MM  MM 1012.9  +0.2  17.5  14.4    MM   MM     MM
45143  44.940  -80.627 2021 05 26 13 00 190   5.0   5.0  0.4   3   MM  MM 1008.9  -0.4  10.2   5.3    MM   MM     MM
45149  43.540  -82.080 2021 05 26 13 00 160   4.0   4.0  0.2   3   MM  MM 1011.8  +0.9  12.2   9.9    MM   MM     MM
45151  44.500  -79.370 2021 05 26 13 00 230   5.0   6.0  0.2   2   MM  MM 1010.2  +0.6  17.8  14.0    MM   MM     MM
45152  46.230  -79.720 2021 05 26 13 00 260   7.0   8.0  0.2   2   MM  MM 1006.7  +1.7  15.9  14.0    MM   MM     MM
45154  46.050  -82.640 2021 05 26 13 00 250   8.0   9.0  0.5   3   MM  MM 1006.4  +1.0  14.2  11.0    MM   MM     MM
